Date,Rain(mm),Runoff(mm),Recharge(mm),ET_WaterBalance(mm),ET_Biological(mm),water_year
1997-01-31,2.10163,0.0,0,2.1016290890000002,29.0986,1997
1997-02-28,19.6382,0.5096633278766044,0,19.128515441123394,19.1219,1997
1997-03-31,0.653175,0.0,0,0.653174608,0.662846,1997
1997-04-30,30.1301,3.130788922087621,0,26.99932806591238,25.5498,1997
1997-05-31,20.6741,0.0,0,20.674101872,22.1237,1997
1997-06-30,55.0689,2.079172894185847,0,52.98970793981415,52.7214,1997
1997-07-31,94.3018,1.3356899614622317,0,92.96610624653776,89.6133,1997
1997-08-31,111.494,0.0,0,111.493692108,109.813,1997
1997-09-30,251.924,82.69951044159237,41.3671,127.85733123131348,106.159,1997
1997-10-31,276.045,126.93673407138982,88.882,60.2266908225282,97.6657,1997
1997-11-30,147.842,49.364504059232566,2.58824,95.88898173918723,109.897,1997
1997-12-31,2.06554,0.0,0,2.065538834,45.7619,1997
1998-01-31,2.10163,0.0,0,2.1016290890000002,10.1992,1998
1998-02-28,19.6382,0.0,0,19.638178769,15.7436,1998
1998-03-31,0.653175,0.0,0,0.653174608,0.656731,1998
1998-04-30,30.1301,3.130788922087621,0,26.99932806591238,16.6456,1998
1998-05-31,20.6741,0.0,0,20.674101872,21.1821,1998
1998-06-30,55.0689,2.079172894185847,0,52.98970793981415,38.5995,1998
1998-07-31,94.3018,1.3356899614622317,0,92.96610624653776,79.0341,1998
1998-08-31,111.494,0.0,0,111.493692108,95.0432,1998
1998-09-30,251.924,82.69951044159237,36.9297,132.29468807991103,91.6767,1998
1998-10-31,276.045,159.65796426859248,52.0475,64.33994382480665,97.6657,1998
1998-11-30,147.842,49.364504059232566,2.58824,95.88898173918723,109.897,1998
1998-12-31,2.06554,0.0,0,2.065538834,45.7619,1998
1999-01-31,1.51642,0.0,0,1.516416053,9.97173,1999
1999-02-28,0.853843,0.0,0,0.853842942,3.49293,1999
1999-03-31,5.25313,0.0,0,5.253132875,5.25313,1999
1999-04-30,0.255931,0.0,0,0.255931496,0.255931,1999
1999-05-31,47.5813,0.0951051479662179,0,47.486181386033785,40.6639,1999
1999-06-30,31.0479,0.0,0,31.047911442,31.0496,1999
1999-07-31,100.119,14.813031445909907,0,85.30643386409008,73.3578,1999
1999-08-31,117.664,12.679493925414452,4.08402,100.90019198848559,73.2977,1999
1999-09-30,62.2579,0.0,0,62.257894774,58.8363,1999
1999-10-31,172.751,23.388385972211932,9.39453,139.9680441248576,108.501,1999
1999-11-30,33.8057,0.0,0,33.805680637,67.5314,1999
1999-12-31,2.61692,0.0,0,2.6169173050000003,40.8278,1999
2000-01-31,0.05,0.0,0,0.05,7.89081,2000
2000-02-29,105.6,24.611245371683413,6.6183,74.37045552517625,37.8455,2000
2000-03-31,0,0.0,0,0.0,6.59524,2000
2000-04-30,9.67,0.0,0,9.67,9.67,2000
2000-05-31,50.5,1.107051022396257,0,49.392948977603744,42.5069,2000
2000-06-30,132.53,24.91377421202978,0,107.61622578797022,73.4483,2000
2000-07-31,154.36,67.32747577960359,8.26997,78.76255754579178,72.7678,2000
2000-08-31,343.52,167.18934710021762,26.7984,149.5322698735918,136.081,2000
2000-09-30,69.15,0.0,0,69.15,78.8144,2000
2000-10-31,100.85,0.44469584771654874,2.3911,98.01420378397522,110.375,2000
2000-11-30,53.31,0.0,0,53.31,67.5071,2000
2000-12-31,20.5532,0.0,0,20.553182958,62.2768,2000
2001-01-31,9.27498,0.0,0,9.274979146,14.2918,2001
2001-02-28,0.867377,0.0,0,0.867376765,3.69391,2001
2001-03-31,4.10459,0.0,0,4.104594841,4.10459,2001
2001-04-30,67.7212,29.474201890631075,0,38.24697605936892,26.2686,2001
2001-05-31,9.57678,0.0,0,9.5767752424,9.58276,2001
2001-06-30,38.1844,0.0,0,38.184377703,34.4089,2001
2001-07-31,51.0843,6.224575185154052,0,44.85971859004595,31.9375,2001
2001-08-31,113.127,5.629660831560901,5.00265,102.49441858487282,82.6133,2001
2001-09-30,166.008,17.891568616727017,9.31897,138.79748561547416,96.2608,2001
2001-10-31,281.983,105.47333531934206,74.3415,102.16852439422108,116.609,2001
2001-11-30,105.902,40.72684819380706,2.39611,62.77912629695797,97.2588,2001
2001-12-31,23.4372,0.0,0,23.437218101,56.1342,2001
2002-01-31,62.7945,2.001287537987129,5.02305,55.77015103214521,39.8811,2002
2002-02-28,0.863952,0.0,0,0.8639515470000001,4.76996,2002
2002-03-31,5.49002,0.0,0,5.490016714,5.49002,2002
2002-04-30,6.30539,0.0,0,6.305388522,6.30539,2002
2002-05-31,33.3188,0.0,0,33.318796968,31.9145,2002
2002-06-30,52.6066,0.0,0,52.606641622,46.3077,2002
2002-07-31,43.8053,0.20130927800307832,0,43.60395406899692,35.5114,2002
2002-08-31,104.663,0.0,0,104.662531398,94.8812,2002
2002-09-30,43.8544,0.0,0,43.854427676,50.5943,2002
2002-10-31,217.984,58.165958717629636,24.864,134.95441585975806,94.2412,2002
2002-11-30,69.0296,3.3349889417173078,11.8138,53.88082323579306,97.5804,2002
2002-12-31,0.341813,0.0,0,0.341812864,36.6079,2002
2003-01-31,3.24,0.0,0,3.24,9.84659,2003
2003-02-28,1.9,0.0,0,1.9000000000000001,4.40912,2003
2003-03-31,41.62,4.623424515423011,0,36.996575484576994,25.3593,2003
2003-04-30,11.55,0.0,0,11.55,11.5649,2003
2003-05-31,5.36,0.0,0,5.36,5.36,2003
2003-06-30,89.72,16.91508434081495,0,72.80491565918504,60.391,2003
2003-07-31,136.53,8.300218381288081,0,128.2297816187119,105.232,2003
2003-08-31,94.46,0.0,0,94.46,79.553,2003
2003-09-30,151.65,20.024740363719474,15.8935,115.73177044101601,81.0648,2003
2003-10-31,179.47,57.74195545859774,20.8405,100.88755638284121,115.105,2003
2003-11-30,21.08,0.0,0,21.08,63.7974,2003
2003-12-31,32.98,0.0,0,32.98,50.8521,2003
2004-01-31,15.9318,0.0,0,15.931787743,22.589,2004
2004-02-29,0.618254,0.0,0,0.6182539671,4.92368,2004
2004-03-31,7.99954,0.0,0,7.999540581,6.54215,2004
2004-04-30,43.7995,19.860943657312802,0,23.938596600687198,18.2213,2004
2004-05-31,130.607,28.755045557607705,2.42133,99.43093323781285,72.3004,2004
2004-06-30,34.3599,0.0,0,34.3599416681,33.5416,2004
2004-07-31,145.533,7.319311083078192,0,138.21398026712183,110.774,2004
2004-08-31,36.0357,0.0,0,36.0356725502,38.8425,2004
2004-09-30,147.89,18.448304190204308,3.9326,125.50915489886843,117.824,2004
2004-10-31,190.243,20.121556460336947,28.5171,141.60405149091045,111.693,2004
2004-11-30,83.6933,13.632670596704216,22.1731,47.8875741569144,105.289,2004
2004-12-31,0,0.0,0,0.0,40.9986,2004
2005-01-31,0.362949,0.0,0,0.362949038,8.12353,2005
2005-02-28,19.7623,0.0,0,19.762322291,16.7246,2005
2005-03-31,6.54616,0.0,0,6.546157094,6.54637,2005
2005-04-30,11.5421,0.0,0,11.542147062,11.5421,2005
2005-05-31,47.0974,0.8202853262554648,0,46.27708320694453,38.0852,2005
2005-06-30,18.3721,0.0,0,18.3720969532,20.245,2005
2005-07-31,109.062,11.00118063605725,0,98.06118342394274,82.6942,2005
2005-08-31,76.81,0.0,0,76.809983328,69.119,2005
2005-09-30,204.879,45.294050136425014,13.2378,146.34721754812,102.085,2005
2005-10-31,442.322,223.1059698870336,93.5256,125.69053324793508,97.5061,2005
2005-11-30,66.7922,3.628704153170833,8.42478,54.738699327063635,100.742,2005
2005-12-31,17.2598,0.0,0,17.259774535000002,60.2315,2005
2006-01-31,0.22,0.0,0,0.21999999999999997,9.84723,2006
2006-02-28,0,0.0,0,0.0,2.72524,2006
2006-03-31,72.25,47.281075392763256,0,24.968924607236744,16.6787,2006
2006-04-30,60.66,42.13503077380858,0,18.524969226191423,10.8886,2006
2006-05-31,53.69,0.6367793033240557,0,53.05322069667594,43.6609,2006
2006-06-30,92.32,13.945569023626003,0,78.374430976374,60.3638,2006
2006-07-31,51.67,6.01252544543426,0,45.65747455456574,33.2218,2006
2006-08-31,56.74,0.0,0,56.74,52.5995,2006
2006-09-30,153.65,48.066333107632715,3.94863,101.63503546211476,93.018,2006
2006-10-31,298.43,164.96793459745885,24.4034,109.0586836358136,76.8552,2006
2006-11-30,206.7,68.70070176103731,56.5242,81.47511964834962,116.359,2006
2006-12-31,7.83,0.0,0,7.83,61.1876,2006
2007-01-31,0,0.0,0,0.0,9.89911,2007
2007-02-28,17.48,0.0,0,17.48,13.9068,2007
2007-03-31,0,0.0,0,0.0,0.0676209,2007
2007-04-30,12.69,0.0,0,12.690000000000001,12.6339,2007
2007-05-31,49.1,1.0718981922889141,0,48.02810180771109,36.4632,2007
2007-06-30,244.64,151.80930900772526,0.898097,91.93259437534205,63.7112,2007
2007-07-31,90.89,6.413516135871752,0,84.47648386412826,68.8781,2007
2007-08-31,179.9,49.15711933194046,13.9416,116.80131052071343,84.4566,2007
2007-09-30,164.85,31.706773946006393,20.5918,112.55137943249116,107.277,2007
2007-10-31,276.05,121.70599053978542,50.3523,103.99166218107757,100.515,2007
2007-11-30,44.15,6.193773106376206,8.72773,29.22849580374919,93.9466,2007
2007-12-31,5.69,0.0,0,5.6899999999999995,39.1581,2007
2008-01-31,0,0.0,0,0.0,7.98379,2008
2008-02-29,137.9,55.33756601058977,9.80489,72.75754341491263,41.023,2008
2008-03-31,79.67,32.010003855524474,0,47.65999614447553,33.6561,2008
2008-04-30,2.31,0.0,0,2.31,2.93362,2008
2008-05-31,13.88,0.0,0,13.879999999999999,13.88,2008
2008-06-30,33.44,0.0,0,33.44,33.252,2008
2008-07-31,103.87,8.238043566891065,0,95.63195643310894,75.1533,2008
2008-08-31,139.52,0.7425436074592398,4.6422,134.13525243885385,124.698,2008
2008-09-30,125.69,17.70990042901376,4.46591,103.51418677575619,100.398,2008
2008-10-31,146.96,27.047396528313534,26.6906,93.22196509428694,91.5172,2008
2008-11-30,288.51,143.5037459742009,29.6995,115.3067742869508,92.6706,2008
2008-12-31,2.77,0.0,0,2.77,81.0553,2008
2009-01-31,0.06,0.0,0,0.060000000000000005,12.1792,2009
2009-02-28,0,0.0,0,0.0,2.85571,2009
2009-03-31,0.77,0.0,0,0.77,0.77,2009
2009-04-30,0,0.0,0,0.0,1.60749e-14,2009
2009-05-31,78.34,16.518481655282002,0,61.82151834471799,43.0237,2009
2009-06-30,83.82,4.0724104798270515,0,79.74758952017295,69.3597,2009
2009-07-31,27.4,0.0,0,27.4,27.1463,2009
2009-08-31,120.07,3.095044983080162,0.632805,116.34214995667018,75.9802,2009
2009-09-30,120.6,3.1182337896757266,3.62304,113.8587213273132,104.719,2009
2009-10-31,44.99,0.0,0.000155061,44.989844938657356,72.8181,2009
2009-11-30,284.26,71.39618372652647,71.603,141.26083693372996,118.732,2009
2009-12-31,42.83,0.1372392375278909,0.0960856,42.596675144063916,86.0894,2009
2010-01-31,6.33,0.0,0,6.33,21.2751,2010
2010-02-28,0,0.0,0,0.0,3.26806,2010
2010-03-31,2.73,0.0,0,2.73,2.73,2010
2010-04-30,13.95,0.0,0,13.95,13.95,2010
2010-05-31,200,154.1096611202655,0,45.890338879734486,29.1057,2010
2010-06-30,111.24,29.02817276467981,0,82.2118272353202,61.5748,2010
2010-07-31,169.83,42.793218234092784,0,127.0367817659072,104.16,2010
2010-08-31,204.94,50.684245803394255,17.345,136.91074881743887,124.264,2010
2010-09-30,137.43,10.801179358572703,8.20448,118.42433823884195,130.499,2010
2010-10-31,155.71,13.260151548748839,5.73328,136.7165718617579,114.538,2010
2010-11-30,254.38,101.40735304690088,67.4127,85.55995186566108,120.719,2010
2010-12-31,115.93,52.67528228571684,1.12297,62.131745616357044,89.3808,2010
2011-01-31,5.17,0.0,0,5.17,19.2528,2011
2011-02-28,10.3,0.0,0,10.3,11.495,2011
2011-03-31,0.03,0.0,0,0.03,0.122453,2011
2011-04-30,21.66,0.0,0,21.66,19.3848,2011
2011-05-31,27.91,0.0,0,27.910000000000004,25.2042,2011
2011-06-30,43.46,0.19719810089740497,0,43.2628018991026,37.4922,2011
2011-07-31,90.42,0.3425503787801035,0,90.0774496212199,72.5233,2011
2011-08-31,97.62,0.8642422705403175,0,96.75575772945969,85.1509,2011
2011-09-30,59.44,0.0,0,59.44,63.0586,2011
2011-10-31,180.8,21.183965799743344,23.5128,136.10320785047307,97.5253,2011
2011-11-30,85.67,13.425327520494033,23.0429,49.20173887332525,95.9899,2011
2011-12-31,20.98,0.0,0,20.979999999999997,51.6024,2011
2012-01-31,50.59,0.33860870054405945,0,50.251391299455946,44.6998,2012
2012-02-29,0,0.0,0,0.0,3.74426,2012
2012-03-31,2.68,0.0,0,2.6799999999999997,2.68,2012
2012-04-30,20.96,0.0,0,20.96,19.4083,2012
2012-05-31,26.84,0.0,0,26.84,24.8525,2012
2012-06-30,48.5,10.097240318947273,0,38.40275968105273,33.7289,2012
2012-07-31,131.64,23.819608576661697,0,107.8203914233383,85.6857,2012
2012-08-31,106.78,0.0,0,106.78,95.3114,2012
2012-09-30,125.19,12.111996193864982,4.19452,108.8834801970536,88.6212,2012
2012-10-31,207.99,93.67486752131225,27.3152,86.99995579246064,105.156,2012
2012-11-30,178.94,105.50233726321932,9.92137,63.516296440779804,91.7395,2012
2012-12-31,14.27,0.0,0,14.27,40.1972,2012
2013-01-31,0.01,0.0,0,0.01,11.8409,2013
2013-02-28,50.79,15.350223650332753,0.310449,35.12932693747682,20.1832,2013
2013-03-31,2.88,0.0,0,2.88,3.06041,2013
2013-04-30,23.67,0.0,0,23.67,22.6451,2013
2013-05-31,22.58,0.0,0,22.58,22.5937,2013
2013-06-30,73.55,2.0344003422573254,0,71.51559965774267,62.8324,2013
2013-07-31,134.63,17.502348265371072,0,117.12765173462893,92.4371,2013
2013-08-31,145.55,23.19725533051129,6.31273,116.04001820626385,96.1021,2013
2013-09-30,148.95,6.045644502698923,8.67579,134.22856060900793,132.742,2013
2013-10-31,321.76,150.41293420102,43.6841,127.66298595235017,113.162,2013
2013-11-30,59.72,0.0,0,59.72,91.2833,2013
2013-12-31,1.17,0.0,0,1.17,48.1367,2013
2014-01-31,0.34,0.0,0,0.34,8.3299,2014
2014-02-28,1.04,0.0,0,1.04,3.62328,2014
2014-03-31,0.73,0.0,0,0.7300000000000001,0.73,2014
2014-04-30,9.57,0.0,0,9.57,9.22639,2014
2014-05-31,25.73,0.0,0,25.73,25.73,2014
2014-06-30,24.88,0.0,0,24.880000000000003,23.7488,2014
2014-07-31,104.4,13.716202286417081,0,90.6837977135829,62.9193,2014
2014-08-31,83.52,0.0,0,83.52,66.8242,2014
2014-09-30,76.52,0.25469953085780683,0,76.26530046914219,76.4769,2014
2014-10-31,123.82,45.98870023263116,0.328432,77.50286757969037,57.6569,2014
2014-11-30,85.83,22.20662489742479,4.53095,59.09242738934791,80.6377,2014
2014-12-31,23.38,0.0,0,23.38,52.7811,2014
2015-01-31,1,0.0,0,1.0,9.76962,2015
2015-02-28,0,0.0,0,0.0,2.67457,2015
2015-03-31,3.33,0.0,0,3.33,3.33,2015
2015-04-30,53.52,5.3989754588072145,0,48.12102454119278,41.3247,2015
2015-05-31,18.32,0.0,0,18.32,18.9186,2015
2015-06-30,82.19,0.13935586547438572,0,82.05064413452561,71.5729,2015
2015-07-31,38.37,1.2524942865300552,0,37.11750571346995,29.6168,2015
2015-08-31,127.9,9.03765442682469,0.123453,118.73889226557665,93.859,2015
2015-09-30,118.07,0.0,0,118.07000000000001,103.763,2015
2015-10-31,57.74,0.0,0,57.74,66.6071,2015
2015-11-30,215.87,54.66019616566269,26.2256,134.98422126441494,105.473,2015
2015-12-31,31.82,0.0,5.02321,26.796791927576027,86.1712,2015
2016-01-31,0.91,0.0,0,0.9099999999999999,13.5081,2016
2016-02-29,0,0.0,0,0.0,2.87895,2016
2016-03-31,3.72,0.0,0,3.7199999999999998,3.72,2016
2016-04-30,0,0.0,0,0.0,1.64433e-14,2016
2016-05-31,68.95,15.97442437390155,0,52.975575626098454,47.5121,2016
2016-06-30,109.18,13.329555289151914,0,95.8504447108481,81.0064,2016
2016-07-31,65.3,0.11489192242656655,0,65.18510807757343,58.588,2016
2016-08-31,87.4,7.862019153130653,2.02255,77.51542914300214,51.7913,2016
2016-09-30,152.66,38.57430538720983,2.88039,111.20530241057006,102.205,2016
2016-10-31,24.04,0.0,0,24.04,41.2709,2016
2016-11-30,11.68,0.0,0,11.68,34.4786,2016
2016-12-31,82.93,15.413470082868898,5.69985,61.81667864193585,72.8595,2016
2017-01-31,0.33,0.0,0,0.33,11.4354,2017
2017-02-28,0,0.0,0,0.0,2.82423,2017
2017-03-31,9.79,0.0,0,9.79,9.79,2017
2017-04-30,11.62,0.0,0,11.620000000000001,11.62,2017
2017-05-31,29.79,0.06307041941743573,0,29.726929580582564,25.9237,2017
2017-06-30,103.85,8.243117952188042,0,95.60688204781195,79.4834,2017
2017-07-31,82.9,0.7960503491169604,0,82.10394965088304,68.6587,2017
2017-08-31,195.17,13.873147364586176,6.10893,175.1879224680399,135.138,2017
2017-09-30,142.87,0.0,0.0350774,142.83492260861905,129.706,2017
2017-10-31,107.48,3.558794892904315,24.5211,79.40013338479554,109.218,2017
2017-11-30,24.25,0.0,0,24.25,53.3897,2017
2017-12-31,0,0.0,0,0.0,31.0562,2017
