Date,ETci_Chilli,ETci_Tobacco,ETci_Pulses,Irr_CWR_met_Chilli,Irr_CWR_met_Tobacco,Irr_CWR_met_Pulses,Rainfed_CWR_met_Chilli,Rainfed_CWR_met_Tobacco,Rainfed_CWR_met_Pulses,AE_crop_Chilli,AE_crop_Tobacco,AE_crop_Pulses,AE_soil_Chilli,AE_soil_Tobacco,AE_soil_Pulses,IWR_Chilli,IWR_Tobacco,IWR_Pulses,ET_Biological,%Irr_CWR_met_Chilli,%Rainfed_CWR_met_Chilli,%Combined_CWR_met_Chilli,Irr_yield_Chilli,Rainfed_yield_Chilli,Avg_yield_Chilli,IWR_met_Chilli,Irr_CWR_Chilli(cu.m/ha),Irr_CWR_Chilli(cu.m),Irr_CWA_Chilli(cu.m/ha),Irr_CWA_Chilli(cu.m),Rainfed_CWR_Chilli(cu.m/ha),Rainfed_CWR_Chilli(cu.m),Rainfed_CWA_Chilli(cu.m/ha),Rainfed_CWA_Chilli(cu.m),Combined CWR_Chilli(cu.m/ha),Combined CWR_Chilli(cu.m),Combined CWA_Chilli(cu.m/ha),Combined CWA_Chilli(cu.m),Potential_Yield_Chilli (Kg/ha),Potential_Irr_Production_Chilli(tonnes),Total_Irr_Production_Chilli,Potential_Rf_Production_Chilli(tonnes),Total_Rf_Production_Chilli,Potential_combined_Production_Chilli(tonnes),Total_combined_Production_Chilli,Potential_WP_Chilli (kg/cu.m),Combined_WP_Chilli (kg/cu.m),AE_crop_soil_Chilli(mm),Yield_Irr_Chilli (kg/ha),Yield_rf_Chilli (kg/ha),Actual_Rainfed_WP_Chilli (kg/cu.m),Water_use_total_Chilli [ETA + IWR/eff],Actual Irrigated WP (kg/ha)_Chilli,%Irr_CWR_met_Tobacco,%Rainfed_CWR_met_Tobacco,%Combined_CWR_met_Tobacco,Irr_yield_Tobacco,Rainfed_yield_Tobacco,Avg_yield_Tobacco,IWR_met_Tobacco,Irr_CWR_Tobacco(cu.m/ha),Irr_CWR_Tobacco(cu.m),Irr_CWA_Tobacco(cu.m/ha),Irr_CWA_Tobacco(cu.m),Rainfed_CWR_Tobacco(cu.m/ha),Rainfed_CWR_Tobacco(cu.m),Rainfed_CWA_Tobacco(cu.m/ha),Rainfed_CWA_Tobacco(cu.m),Combined CWR_Tobacco(cu.m/ha),Combined CWR_Tobacco(cu.m),Combined CWA_Tobacco(cu.m/ha),Combined CWA_Tobacco(cu.m),Potential_Yield_Tobacco (Kg/ha),Potential_Irr_Production_Tobacco(tonnes),Total_Irr_Production_Tobacco,Potential_Rf_Production_Tobacco(tonnes),Total_Rf_Production_Tobacco,Potential_combined_Production_Tobacco(tonnes),Total_combined_Production_Tobacco,Potential_WP_Tobacco (kg/cu.m),Combined_WP_Tobacco (kg/cu.m),AE_crop_soil_Tobacco(mm),Yield_Irr_Tobacco (kg/ha),Yield_rf_Tobacco (kg/ha),Actual_Rainfed_WP_Tobacco (kg/cu.m),Water_use_total_Tobacco [ETA + IWR/eff],Actual Irrigated WP (kg/ha)_Tobacco,%Irr_CWR_met_Pulses,%Rainfed_CWR_met_Pulses,%Combined_CWR_met_Pulses,Irr_yield_Pulses,Rainfed_yield_Pulses,Avg_yield_Pulses,IWR_met_Pulses,Irr_CWR_Pulses(cu.m/ha),Irr_CWR_Pulses(cu.m),Irr_CWA_Pulses(cu.m/ha),Irr_CWA_Pulses(cu.m),Rainfed_CWR_Pulses(cu.m/ha),Rainfed_CWR_Pulses(cu.m),Rainfed_CWA_Pulses(cu.m/ha),Rainfed_CWA_Pulses(cu.m),Combined CWR_Pulses(cu.m/ha),Combined CWR_Pulses(cu.m),Combined CWA_Pulses(cu.m/ha),Combined CWA_Pulses(cu.m),Potential_Yield_Pulses (Kg/ha),Potential_Irr_Production_Pulses(tonnes),Total_Irr_Production_Pulses,Potential_Rf_Production_Pulses(tonnes),Total_Rf_Production_Pulses,Potential_combined_Production_Pulses(tonnes),Total_combined_Production_Pulses,Potential_WP_Pulses (kg/cu.m),Combined_WP_Pulses (kg/cu.m),AE_crop_soil_Pulses(mm),Yield_Irr_Pulses (kg/ha),Yield_rf_Pulses (kg/ha),Actual_Rainfed_WP_Pulses (kg/cu.m),Water_use_total_Pulses [ETA + IWR/eff],Actual Irrigated WP (kg/ha)_Pulses,Rainfed_Yield_Avg,Irrigated_Yield_Avg,Rainfed_CWR_Avg,Rainfed_CWA_Avg,Irrigated_CWR_Avg,Irrigated_CWA_Avg,Combined_CWR_Avg,Combined_CWA_Avg,ET_Biological_Avg,Drought Proofing
1997-12-31,534.263,407.303,176.441,506.819,407.303,176.441,437.893,336.532,150.217,437.893,336.532,150.217,329.588,402.308,608.635,96.3697,70.7703,26.2239,708.188,0.948631,0,0.948631,0.948631,0,0.948631,0.948631,5342.63,3.80395e+06,5068.19,3.60855e+06,5342.63,0,4378.93,0,5342.63,3.80395e+06,5068.19,3.60855e+06,6500,4628,4390.26,0,0,4628,4390.26,1.21663,1.21663,767.481,6166.1,0,0,923.753,0.667505,1,0.826247,0.974122,1,0.843622,0.97671,1,4073.03,6.51684e+06,4073.03,6.51684e+06,4073.03,1.14045e+06,3365.32,942291,4073.03,5.7161e+06,3967.62,5.68659e+06,2000,3200,3200,560,472.428,3760,3672.43,0.491035,0.49234,738.84,2000,1687.24,0.501361,859.815,0.232608,0,0.851373,0.851373,0,0.881099,0.881099,0,1764.41,0,1764.41,0,1764.41,2.02908e+06,1502.17,1.7275e+06,1764.41,2.02908e+06,1502.17,1.7275e+06,1500,0,0,1725,1519.9,1725,1519.9,0.850141,0.879823,758.853,0,1321.65,0.879823,758.853,0,87.376,98.4181,3605.11,2985.6,3605.11,3552.89,3605.11,3419.34,708.188,0.941984
1998-12-31,762.063,426.935,193.62,762.063,426.935,193.62,468.056,343.439,159.524,468.056,343.439,159.524,227.064,275.15,455.984,294.007,83.4959,34.0954,622.105,1,0,1,1,0,1,1,7620.63,5.42589e+06,7620.63,5.42589e+06,7620.63,0,4680.56,0,7620.63,5.42589e+06,7620.63,5.42589e+06,6500,4628,4628,0,0,4628,4628,0.852948,0.852948,695.12,6500,0,0,1197.7,0.542709,1,0.804429,0.970872,1,0.823986,0.973785,1,4269.35,6.83096e+06,4269.35,6.83096e+06,4269.35,1.19542e+06,3434.39,961629,4269.35,5.99162e+06,4144.99,5.9568e+06,2000,3200,3200,560,461.432,3760,3661.43,0.468456,0.469861,618.589,2000,1647.97,0.479845,761.317,0.262703,0,0.823905,0.823905,0,0.859124,0.859124,0,1936.2,0,1936.2,0,1936.2,2.22662e+06,1595.24,1.83453e+06,1936.2,2.22662e+06,1595.24,1.83453e+06,1500,0,0,1725,1481.99,1725,1481.99,0.774715,0.807832,615.508,0,1288.69,0.807832,615.508,0,85.2244,100,4189.98,3106.29,4189.98,4189.98,4189.98,4022.72,622.105,0.943535
1999-12-31,792.842,446.071,198.906,693.903,379.272,177.867,326.22,298.055,158.107,326.22,298.055,158.107,203.35,227.714,363.382,466.621,148.016,40.7987,513.039,0.87521,0,0.87521,0.87521,0,0.87521,0.87521,7928.42,5.64503e+06,6939.03,4.94059e+06,7928.42,0,3262.2,0,7928.42,5.64503e+06,6939.03,4.94059e+06,6500,4628,4050.47,0,0,4628,4050.47,0.819836,0.819836,529.57,5688.87,0,0,1227.68,0.463385,0.850249,0.668178,0.823132,0.865224,0.70136,0.840819,0.850249,4460.71,7.13714e+06,3792.72,6.06835e+06,4460.71,1.249e+06,2980.55,834554,4460.71,6.26018e+06,3671.76,5.28885e+06,2000,3200,2768.72,560,392.762,3760,3161.48,0.448359,0.457993,525.769,1730.45,1402.72,0.470625,740.899,0.233561,0,0.794884,0.794884,0,0.835907,0.835907,0,1989.06,0,1778.67,0,1989.06,2.28741e+06,1581.07,1.81823e+06,1989.06,2.28741e+06,1581.07,1.81823e+06,1500,0,0,1725,1441.94,1725,1441.94,0.754127,0.793046,521.489,0,1253.86,0.793046,521.489,0,80.9562,86.83,4360.93,2604.05,4360.93,3772.41,4360.93,3650.91,513.039,0.845853
2000-12-31,797.416,461.111,199.984,573.922,368.224,177.724,468.584,312.114,172.949,468.584,312.114,172.949,276.681,401.056,536.58,328.833,148.997,27.035,705.78,0.719727,0,0.719727,0.719727,0,0.719727,0.719727,7974.16,5.6776e+06,5739.22,4.08632e+06,7974.16,0,4685.84,0,7974.16,5.6776e+06,5739.22,4.08632e+06,6500,4628,3330.89,0,0,4628,3330.89,0.815133,0.815133,745.264,4678.22,0,0,1149.83,0.406863,0.798559,0.676873,0.780435,0.818703,0.709186,0.802392,0.798559,4611.11,7.37778e+06,3682.24,5.89159e+06,4611.11,1.29111e+06,3121.14,873919,4611.11,6.47126e+06,3598.68,5.14428e+06,2000,3200,2619.85,560,397.144,3760,3016.99,0.433735,0.445937,713.17,1637.41,1418.37,0.45444,916.56,0.178647,0,0.864814,0.864814,0,0.891851,0.891851,0,1999.84,0,1777.24,0,1999.84,2.29982e+06,1729.49,1.98892e+06,1999.84,2.29982e+06,1729.49,1.98892e+06,1500,0,0,1725,1538.44,1725,1538.44,0.750059,0.773508,709.53,0,1337.78,0.773508,709.53,0,85.6085,78.8222,4448.51,2991.17,4448.51,3488.18,4448.51,3431.52,705.78,0.814156
2001-12-31,784.247,433.235,189.856,579.904,414.509,184.702,474.503,349.422,168.352,474.503,349.422,168.352,163.515,217.232,413.648,309.743,83.8131,21.5035,573.164,0.739441,0,0.739441,0.739441,0,0.739441,0.739441,7842.47,5.58384e+06,5799.04,4.12892e+06,7842.47,0,4745.03,0,7842.47,5.58384e+06,5799.04,4.12892e+06,6500,4628,3422.13,0,0,4628,3422.13,0.828821,0.828821,638.018,4806.36,0,0,1029.53,0.466848,0.956775,0.806541,0.9344,0.961098,0.825887,0.94096,0.956775,4332.35,6.93177e+06,4145.09,6.63214e+06,4332.35,1.21306e+06,3494.22,978382,4332.35,6.08004e+06,4048.15,5.79009e+06,2000,3200,3075.51,560,462.497,3760,3538.01,0.461643,0.464884,566.655,1922.2,1651.77,0.472716,703.732,0.273143,0,0.886737,0.886737,0,0.90939,0.90939,0,1898.56,0,1847.02,0,1898.56,2.18334e+06,1683.52,1.93605e+06,1898.56,2.18334e+06,1683.52,1.93605e+06,1500,0,0,1725,1568.7,1725,1568.7,0.790074,0.810257,582,0,1364.08,0.810257,582,0,89.304,89.2836,4252.27,3175.75,4252.27,3753.54,4252.27,3654.59,573.164,0.892914
2002-12-31,809.391,467.196,205.899,665.323,378.379,166.637,378.758,306.802,157.48,378.758,306.802,157.48,208.552,252.46,405.355,430.633,160.394,48.4195,544.085,0.822004,0,0.822004,0.822004,0,0.822004,0.822004,8093.91,5.76286e+06,6653.23,4.7371e+06,8093.91,0,3787.58,0,8093.91,5.76286e+06,6653.23,4.7371e+06,6500,4628,3804.24,0,0,4628,3804.24,0.803073,0.803073,587.31,5343.03,0,0,1192.41,0.448088,0.809893,0.656687,0.787075,0.828904,0.691019,0.808368,0.809893,4671.96,7.47514e+06,3783.79,6.05406e+06,4671.96,1.30815e+06,3068.02,859045,4671.96,6.55665e+06,3677.19,5.28034e+06,2000,3200,2652.49,560,386.97,3760,3039.46,0.428086,0.439667,559.262,1657.81,1382.04,0.450466,781.317,0.212181,0,0.764839,0.764839,0,0.811871,0.811871,0,2058.99,0,1666.37,0,2058.99,2.36784e+06,1574.8,1.81102e+06,2058.99,2.36784e+06,1574.8,1.81102e+06,1500,0,0,1725,1400.48,1725,1400.48,0.728511,0.773309,562.835,0,1217.81,0.773309,562.835,0,78.8208,82.6779,4520.04,2746.03,4520.04,3679.03,4520.04,3597.33,544.085,0.812039
2003-12-31,805.024,456.867,198.913,476.82,364.746,157.027,395.219,313.423,145.618,395.219,313.423,145.618,253.954,293.018,463.948,409.805,143.444,53.295,612.535,0.592306,0,0.592306,0.592306,0,0.592306,0.592306,8050.24,5.73177e+06,4768.21,3.39496e+06,8050.24,0,3952.19,0,8050.24,5.73177e+06,4768.21,3.39496e+06,6500,4628,2741.19,0,0,4628,2741.19,0.807429,0.807429,649.174,3849.99,0,0,1064.1,0.361808,0.798364,0.686026,0.781633,0.818528,0.717423,0.80347,0.798364,4568.67,7.30987e+06,3647.46,5.83594e+06,4568.67,1.27923e+06,3134.23,877583,4568.67,6.41169e+06,3571.02,5.09746e+06,2000,3200,2619.29,560,401.757,3760,3021.05,0.437764,0.449994,606.44,1637.06,1434.85,0.457799,802.203,0.20407,0,0.732069,0.732069,0,0.785655,0.785655,0,1989.13,0,1570.27,0,1989.13,2.2875e+06,1456.18,1.67461e+06,1989.13,2.2875e+06,1456.18,1.67461e+06,1500,0,0,1725,1355.26,1725,1355.26,0.754098,0.809297,609.566,0,1178.48,0.809297,609.566,0,77.2295,74.8861,4438.37,2774.16,4438.37,3222.34,4438.37,3148.88,612.535,0.757816
2004-12-31,811.067,458.564,206.651,565.829,436.926,200.448,468.788,351.599,158.646,468.788,351.599,158.646,242.896,344.345,531.888,342.279,106.965,48.0043,683.539,0.697635,0,0.697635,0.697635,0,0.697635,0.697635,8110.67,5.7748e+06,5658.29,4.0287e+06,8110.67,0,4687.88,0,8110.67,5.7748e+06,5658.29,4.0287e+06,6500,4628,3228.66,0,0,4628,3228.66,0.801414,0.801414,711.684,4534.63,0,0,1119.86,0.404927,0.952814,0.76674,0.925101,0.957533,0.790066,0.932591,0.952814,4585.64,7.33702e+06,4369.26,6.99082e+06,4585.64,1.28398e+06,3515.99,984478,4585.64,6.43551e+06,4242.18,6.09626e+06,2000,3200,3064.1,560,442.437,3760,3506.54,0.436144,0.439675,695.944,1915.07,1580.13,0.449413,870.162,0.220082,0,0.767703,0.767703,0,0.814163,0.814163,0,2066.51,0,2004.48,0,2066.51,2.37648e+06,1586.46,1.82443e+06,2066.51,2.37648e+06,1586.46,1.82443e+06,1500,0,0,1725,1404.43,1725,1404.43,0.725863,0.76979,690.534,0,1221.24,0.76979,690.534,0,80.9444,87.7495,4482.17,3145.98,4482.17,3887.78,4482.17,3695.47,683.539,0.85149
